"Species","col_2b","col_16S","Group","Color"
"Tannerella",0.006224447,0.001824257,"s11_11","shared"
"Terrisporobacter",0,0.004154249,"s11_11","16S only"
"Thermoanaerosceptrum",0,7.22478e-05,"s11_11","16S only"
"TM7x",0.003121841,0.000957283,"s11_11","shared"
"Treponema",0.000835289,0.001029531,"s11_11","shared"
"Treponema_B",0.001682627,0.00148108,"s11_11","shared"
"Treponema_C",0.000883632,0.000162558,"s11_11","shared"
"Treponema_D",0.000228236,0.00065023,"s11_11","shared"
"UBA10281",0,7.22478e-05,"s11_11","16S only"
"UBA1103",0.001544647,0.000307053,"s11_11","shared"
"UBA1191",0,0.000487673,"s11_11","16S only"
"UBA1394",0,0.002239682,"s11_11","16S only"
"UBA1417",0,0.000433487,"s11_11","16S only"
"UBA1436",0,5.41859e-05,"s11_11","16S only"
"UBA2730",0,0.003341461,"s11_11","16S only"
"UBA2866",0.000319258,0.000108372,"s11_11","shared"
"UBA3830",0,7.22478e-05,"s11_11","16S only"
"UBA4334",0,0.000957283,"s11_11","16S only"
"UBA4372",0,0.005490834,"s11_11","16S only"
"UBA5446",0,0.006827418,"s11_11","16S only"
"UBA7160",0,7.22478e-05,"s11_11","16S only"
"UBA7173",0,9.03098e-05,"s11_11","16S only"
"UBA7862",0,3.61239e-05,"s11_11","16S only"
"UBA8529",0,0.001011469,"s11_11","16S only"
"UBA9502",0,0.001444956,"s11_11","16S only"
