id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Cutibacterium_acnes,0,1145167,0,0,1339143,0,0,0,0,1031994,0,21300,0,850275,0,0,0,0,0,29400,0,890873,0,0
Arachnia_sp905372155,0,2191677,0,0,0,18700,150834,16400,0,918943,0,30800,0,290870,0,0,0,745084,0,53400,408987,233297,0,25000
Peptoanaerobacter_yurii,0,3561827,0,0,0,58000,0,275035,0,846405,0,0,0,114033,49700,254297,0,169126,0,4190,0,9070,46500,124042
Parvimonas_sp015257355,0,2091661,0,0,550524,3886504,0,755212,0,812541,0,69100,1852797,1325871,0,1393756,0,1180441,0,57600,1655469,1957228,0,921422
Capnocytophaga_sp000466425,0,54900,519878,1032431,0,4200,3222173,4208441,0,740413,224312,2346785,0,29600,2359321,2367173,0,9410,0,2252352,0,11100,1920699,2361426
Streptococcus_rubneri,0,910789,0,0,104836,2142104,0,369233,0,737343,0,0,0,1243395,0,1009456,0,204225,0,0,0,1838031,0,382562
Arachnia_sp013333945,0,0,0,88800,1226108,0,0,71500,0,714733,0,475228,496980,226221,120354,107642,0,0,0,383818,0,211884,113344,108033
HOT-345_sp013333605,0,2888027,933776,287683,225523,2338748,3110069,5011915,0,700614,1575406,2136385,0,3409296,3091189,4939044,0,669827,758970,2740838,1141218,1700173,3049029,4353808
Slackia_exigua,0,0,0,0,0,2210,0,10200,0,678925,0,0,0,0,24300,32400,0,0,0,0,0,0,30400,4150
Oribacterium_sp000160135,38200,201075,533393,0,0,12100,0,44800,0,668387,0,0,0,159215,12600,80400,0,0,0,0,0,21700,0,30000
Leptotrichia_massiliensis,0,0,3027593,294249,0,330684,0,846503,0,668285,6682590,428008,0,5380430,60600,744930,0,601954,1248307,211325,0,1870660,204250,413276
Olsenella_uli,0,0,0,0,0,0,0,7440,0,609457,0,0,0,0,0,14200,0,0,0,0,0,0,51000,15200
Lancefieldella_parvula,0,0,0,0,0,19400,141259,25800,0,583777,0,0,0,86500,397789,107880,0,0,0,13100,0,0,120024,44500
